iter	Passed	Remaining
0	53	53251
1	79	39489
2	108	35931
3	134	33600
4	177	35276
5	203	33711
6	244	34661
7	289	35881
8	308	33997
9	357	35357
10	381	34283
11	401	33073
12	421	32034
13	473	33365
14	522	34318
15	588	36207
16	629	36426
17	665	36321
18	710	36663
19	753	36902
20	786	36648
21	811	36090
22	872	37079
23	897	36481
24	942	36760
25	990	37123
26	1027	37014
27	1078	37442
28	1112	37256
29	1152	37280
30	1217	38041
31	1242	37586
32	1279	37485
33	1300	36959
34	1353	37306
35	1374	36796
36	1415	36852
37	1461	36989
38	1482	36531
39	1526	36639
40	1550	36276
41	1561	35620
42	1583	35241
43	1598	34740
44	1653	35084
45	1681	34875
46	1772	35936
47	1812	35941
48	1895	36790
49	1952	37092
50	1983	36911
51	2046	37311
52	2125	37978
53	2185	38291
54	2224	38217
55	2280	38447
56	2334	38627
57	2364	38404
58	2425	38685
59	2458	38511
60	2509	38625
61	2558	38701
62	2606	38760
63	2670	39057
64	2724	39186
65	2755	38999
66	2805	39067
67	2849	39060
68	2872	38763
69	2895	38462
70	2935	38410
71	2991	38554
72	3031	38491
73	3073	38460
74	3106	38317
75	3142	38204
76	3173	38038
77	3201	37839
78	3243	37816
79	3288	37823
80	3314	37603
81	3351	37516
82	3382	37369
83	3407	37162
84	3433	36958
85	3471	36899
86	3514	36883
87	3546	36753
88	3569	36536
89	3596	36362
90	3621	36177
91	3641	35942
92	3667	35767
93	3703	35692
94	3730	35542
95	3763	35439
96	3794	35322
97	3830	35259
98	3876	35284
99	3903	35135
100	3947	35138
101	3977	35015
102	3996	34804
103	4027	34696
104	4054	34559
105	4076	34381
106	4106	34276
107	4145	34234
108	4164	34041
109	4191	33911
110	4220	33805
111	4256	33750
112	4299	33749
113	4335	33697
114	4364	33588
115	4413	33635
116	4449	33579
117	4493	33584
118	4534	33567
119	4549	33364
120	4571	33212
121	4610	33178
122	4629	33008
123	4656	32895
124	4687	32810
125	4725	32775
126	4759	32718
127	4776	32542
128	4807	32462
129	4845	32426
130	4874	32335
131	4902	32239
132	4942	32220
133	4983	32209
134	5023	32184
135	5063	32170
136	5100	32129
137	5133	32064
138	5162	31976
139	5178	31809
140	5207	31726
141	5240	31663
142	5263	31546
143	5304	31532
144	5364	31630
145	5385	31501
146	5423	31468
147	5455	31405
148	5474	31265
